site,title,company,location,salary,link
indeed,Sr. Spark Developer - AI,Cognizant Technology Solutions,"Chicago, IL",not opened,https://www.indeed.com/viewjob?jk=555240f45eb9bd22
indeed,"Temperature Screening Provider for 7-week engagement - Susanville, CA",TrueCare24,"Susanville, CA","
$18 - $23 an hour",https://www.indeed.com/viewjob?jk=36fe91bc2557c9b7
indeed,Executive Assistant,Marty Hosking LLC at Keller Williams Real Estate,"Omaha, NE","
$36,000 - $42,000 a year",https://www.indeed.com/viewjob?jk=8954b1afb5625457
indeed,AI/ML Residency Program,Apple,"Seattle, WA",not opened,https://www.indeed.com/viewjob?jk=1cac7cb107e7d7a7
indeed,ASSOCIATE PRODUCT OWNER,GRANT THORNTON,"Omaha, NE",not opened,https://www.indeed.com/viewjob?jk=0c1de49c3824ae67
indeed,All Source Intelligence-Cyberspace (AI-C) Analyst,"Cyberspace Solutions, LLC","Offutt AFB, NE",not opened,https://www.indeed.com/viewjob?jk=f05a370b0ea36bd7
indeed,AI Executive Assistant & Program Manager,Stanley Black & Decker,"New Britain, CT",not opened,https://www.indeed.com/viewjob?jk=4e8214d0ca1252f3
indeed,Customer Service Representative - Remote,"Insight Enterprises, Inc.",United States,not opened,https://www.indeed.com/viewjob?jk=6e930858bb8ccb45
indeed,AI Cognitive Psychologist or Linguist (entry level),AGI Innovations Inc,"Torrance, CA","
$35,000 - $40,000 a year",https://www.indeed.com/viewjob?jk=4064968e8cff07fb
indeed,Research Engineer – Robust and Explainable AI Methods,Ford Motor Company,"Palo Alto, CA",not opened,https://www.indeed.com/viewjob?jk=c03dac682543b99d
indeed,"AI/ML - ML Researcher, Machine Intelligence",Apple,"Santa Clara Valley, CA",not opened,https://www.indeed.com/viewjob?jk=8f4df9c7eec1d758
indeed,Quality Documentation Specialist,Nuance,Remote,"
$13 an hour",https://www.indeed.com/viewjob?jk=44c3592b2b46210d
indeed,"AI/ML - NLP & ML Engineer, Siri Understanding",Apple,"Santa Clara Valley, CA",not opened,https://www.indeed.com/viewjob?jk=47018954d03772ff
indeed,OpenAI Scholars Program: Fall 2020,OpenAI,"San Francisco, CA","
$10,000 a month",https://www.indeed.com/viewjob?jk=685b49e4930a9842
indeed,Associate Data Scientist (Entry Level),IBM,California,not opened,https://www.indeed.com/viewjob?jk=b34da1c84534b238
indeed,Software QA Tester,None,"Denver, CO","
$35,000 - $50,000 a year",https://www.indeed.com/viewjob?jk=3cfcb03555dd1f98
indeed,Virtual Artificial intelligence Expert (AI/NLP),Aptara,"Richmond, VA","
$65 - $70 an hour",https://www.indeed.com/viewjob?jk=0ef1349cb03d1354
indeed,AI/ML Researcher/Engineer,Curai,"Palo Alto, CA",not opened,https://www.indeed.com/viewjob?jk=60bf4285dea4c2a7
indeed,Data Labeler,InvolveSoft,Remote,not opened,https://www.indeed.com/viewjob?jk=619cc884b2c1a7ea
indeed,Technical Program Manager,Infrrd.Inc,"Chicago, IL","
$120,000 - $140,000 a year",https://www.indeed.com/viewjob?jk=05e2cad286ca87dc
indeed,Accountant,Botkeeper Inc,Remote,not opened,https://www.indeed.com/viewjob?jk=5d39c5a67f09d3b1
indeed,Data Labeling Linguist,Scaleapi,Remote,not opened,https://www.indeed.com/viewjob?jk=11741a44d46f9193
indeed,AI/ML - Human Factors Researcher,Apple,"Seattle, WA",not opened,https://www.indeed.com/viewjob?jk=bc9b427d83cb18b8
indeed,Mobile AI Researcher,Lenovo,"Chicago, IL",not opened,https://www.indeed.com/viewjob?jk=136f76a37826ea05
indeed,Junior Backend Engineer,None,"Denver, CO","
$70,000 - $80,000 a year",https://www.indeed.com/viewjob?jk=8c81e05e8b0fe21b
indeed,Entry Level - Associate Data Scientist,IBM,United States,not opened,https://www.indeed.com/viewjob?jk=ea78d3941ea548cc
indeed,Research Intern - Program Synthesis and AI,Microsoft,"Redmond, WA",not opened,https://www.indeed.com/viewjob?jk=b2b03f2314e8c9a3
indeed,Fellowship in Ethical AI and Data Sciences for the Public Interest,Giving Tech Labs,Remote,not opened,https://www.indeed.com/viewjob?jk=ebf92d89bef9db2d
indeed,AI Engineer,Stanley Black & Decker,"New Britain, CT",not opened,https://www.indeed.com/viewjob?jk=bb1326f4195cf574
indeed,AI Engineer - II,Microsoft,"Berkeley, CA",not opened,https://www.indeed.com/viewjob?jk=fdeca3b9d11b3b52
indeed,Penetration Testing Trainee (Remote USA),BreachLock,"Florida, NY",not opened,https://www.indeed.com/viewjob?jk=487b30db63184515
indeed,AI/ML Device Management Specialist,Apple,"Santa Clara Valley, CA",not opened,https://www.indeed.com/viewjob?jk=e381371513243665
indeed,Work From Home Customer Service Representative,TaskUs,"San Antonio, TX","
$13 - $18 an hour",https://www.indeed.com/viewjob?jk=fddc21029337b060
indeed,"Research Scientist, AI Research",Facebook,"Menlo Park, CA",not opened,https://www.indeed.com/viewjob?jk=9c3b0065d9408205
indeed,Content Developer – Data & AI,Microsoft,"Redmond, WA",not opened,https://www.indeed.com/viewjob?jk=41e823c398de8484
